ID,ID_TEXT,PAGE,ChineseSimple,Chinese,English,Vietnamese,Korean,,
302,,SUBGROUP_JS,,删除失败！,Delete failed！,Xóa thất bại!,,,
303,,SUBGROUP_JS,,确定删除此帐号！,Are you sure you want to delete this account?,Xác nhận xóa tài khoản?,,,
304,,CHANGEPASS_ASP,,您的旧密码,Old Password,Mật khẩu cũ,,,
305,,CHANGEPASS_ASP,,输入新密码,New Password,Mật khẩu mới,,,
306,,CHANGEPASS_ASP,,新密码确认,Confirm Password,Xác nhận,,,
307,,CHANGEPASS_ASP,,(密码必须使用（0-9，A-Z）而且至少为6位）,"*The length of password must be more six chars[0-9],[A-Z]",(*Mật khẩu dùng [0-9] [A-Z] và lớn hơn 6 ký tự),,,
308,,CHANGEPASS_ASP,,提交,Submit,Lưu,,,
309,,CHANGEPASS_ASP,,重置,Reset,Nhập lại,,,
310,,CHANGEPASS_ASP,,关闭,Close,Đóng,,,
311,,ACCOUNTSUM_ASP,,台号,Table No,Bàn số,,,
312,,ACCOUNTSUM_ASP,,局次,Game No,Game số,,,
313,,ACCOUNTSUM_ASP,,投注状态,Bet Status,Tình trạng cược,,,
314,,ACCOUNTSUM_ASP,,在线人数,Online,Online,,,
315,,ACCOUNTSUM_ASP,,投注金额,Bet Amount,,,,
316,,ACCOUNTSUM_ASP,,闲/大/龙/单/红,Player/Big/Dragon/Odd/Red,Tiền cược,,,
317,,ACCOUNTSUM_ASP,,庄/小/虎/双/黑,Banker/Small/Tiger/Even/Black,Cái/Xỉu/Hổ/Chẵn/Đen,,,
318,,ACCOUNTSUM_ASP,,场局,Game No,Game số,,,
319,,ACCOUNTSUM_ASP,,所属代理,Agent,Đại lý,,,
320,,ACCOUNTSUM_ASP,,会员账号,Member,Thành viên,,,
321,,ACCOUNTSUM_ASP,,当日输赢,Daily WinLoss,Thắng thua trong ngày,,,
322,,ACCOUNTSUM_ASP,,投注明细,Bet Details,Chi tiết cược,,,
323,,ACCOUNTSUM_ASP,,余额,Balance,Tài khoản,,,
324,,ACCOUNTSUM_ASP,,最高赢额,Max win,Tiền thắng tối đa,,,
325,,ACCOUNTSUM_ASP,,ip地址,IP address,Địa chỉ IP,,,
326,,ACCOUNTSUM_ASP,,登录时间,Login time,Thời gian đăng nhập,,,
327,,ACCOUNTSUM_ASP,,在线,Online,Online,,,
328,,ACCOUNTSUM_ASP,,离开,Leave,Rời mạng,,,
329,,ACCOUNTSUM_ASP,,闲,Player,Người chơi,,,
330,,ACCOUNTSUM_ASP,,和,Tie,Hòa,,,
331,,ACCOUNTSUM_ASP,,庄,Banker,Nhà cái,,,
332,,ACCOUNTSUM_ASP,,闲对,P.Pair,Con đôi,,,
333,,ACCOUNTSUM_ASP,,庄对,B.Pair,Cái đôi,,,
334,,ACCOUNTSUM_ASP,,大,Big,Tài,,,
335,,ACCOUNTSUM_ASP,,小,Small,Xỉu,,,
336,,ACCOUNTSUM_ASP,,闲单,PlayerOdd,Con lẻ,,,
337,,ACCOUNTSUM_ASP,,闲双,PlayerEven,Con chẵn,,,
338,,ACCOUNTSUM_ASP,,庄单,BankerOdd,Cái lẻ,,,
339,,ACCOUNTSUM_ASP,,庄双,BankerEven,Cái chẵn,,,
340,,ACCOUNTSUM_ASP,,庄保险(p),Banker Ins (p),Cái bảo hiểm (p),,,
341,,ACCOUNTSUM_ASP,,庄保险(b),Banker Ins (b),Cái bảo hiểm (b),,,
342,,ACCOUNTSUM_ASP,,虎,Tiger,Hổ,,,
343,,ACCOUNTSUM_ASP,,龙,Dragon,Long,,,
344,,ACCOUNTSUM_ASP,,公牛,Cow,Cow,,,
345,,ACCOUNTSUM_ASP,,行,Line,Hàng,,,
346,,ACCOUNTSUM_ASP,,组,Group,Nhóm,,,
347,,ACCOUNTSUM_ASP,,单,Odd,Lẻ,,,
348,,ACCOUNTSUM_ASP,,双,Even,Chẵn,,,
349,,ACCOUNTSUM_ASP,,红,Red,Đỏ,,,
350,,ACCOUNTSUM_ASP,,黑,Black,Đen,,,
351,,ACCOUNTSUM_ASP,,围骰,Triple,Triple,,,
352,,PLAYLIST_ASP,,查询时间,Query time,Thời gian yêu cầu,,,
353,,PLAYLIST_ASP,,到,To,đến,,,
354,,PLAYMONEY_ASP,,会员投注账单,Member betting record,Lịch sử đặt cược,,,
355,,PLAYMONEY_ASP,,查询时间,Query time,Thời gian truy vấn,,,
356,,PLAYMONEY_ASP,,到,To,Đến,,,
357,,PLAYMONEY_ASP,,代理,Agent,Đại lý,,,
358,,PLAYMONEY_ASP,,会员,Member,Thành viên,,,
359,,PLAYMONEY_ASP,,查询,Query,Truy vấn,,,
360,,PLAYMONEY_ASP,,本星期查询,This week,Tuần này,,,
361,,PLAYMONEY_ASP,,上星期查询,Last week,,,,
362,,FUNCTION_JS,,闲,Player,Tuần trước,,,
363,,FUNCTION_JS,,和,Tie,Hòa,,,
364,,FUNCTION_JS,,庄,Banker,Nhà cái,,,
365,,FUNCTION_JS,,闲对,P.Pair,Con đôi,,,
366,,FUNCTION_JS,,庄对,B.Pair,Cái đôi,,,
367,,FUNCTION_JS,,大,Big,Tài,,,
368,,FUNCTION_JS,,小,Small,Xỉu,,,
369,,FUNCTION_JS,,闲单,PlayerOdd,Con lẻ,,,
370,,FUNCTION_JS,,闲双,PlayerEven,Con chẵn,,,
371,,FUNCTION_JS,,庄单,BankerOdd,Cái lẻ,,,
372,,FUNCTION_JS,,庄双,BankerEven,Cái chẵn,,,
373,,FUNCTION_JS,,虎,Tiger,Hổ,,,
374,,FUNCTION_JS,,和,Tie,Hòa,,,
375,,FUNCTION_JS,,龙,Dragon,Long,,,
376,,FUNCTION_JS,,公牛,Cow,Cào,,,
377,,FUNCTION_JS,,斗牛士,Matador,Matador,,,
378,,FUNCTION_JS,,百家乐,Baccarat,Baccarat,,,
379,,FUNCTION_JS,,龙 虎,Dragon&Tiger,Long Hổ,,,
380,,FUNCTION_JS,,牛牛,BULL,Ngưu Ngưu,,,
381,,FUNCTION_JS,,轮盘,Roulette,Roulette,,,
382,,FUNCTION_JS,,骰宝,Sic Bo,Tài Xỉu,,,
383,,FUNCTION_JS,,番摊,Fan Tan,Fan Tan,,,
384,,FUNCTION_JS,,保险百家乐,Baccarat Insurance,Baccarat Insurance,,,
385,,FUNCTION_JS,,宝宝,Baobao,Bảo bảo,,,
386,,FUNCTION_JS,,电子游戏,Video Games,E game,,,
387,,FUNCTION_JS,,一,1,1,,,
388,,FUNCTION_JS,,二,2,2,,,
389,,FUNCTION_JS,,三,3,3,,,
390,,FUNCTION_JS,,四,4,4,,,
391,,FUNCTION_JS,,五,5,5,,,
392,,FUNCTION_JS,,六,6,6,,,
393,,FUNCTION_JS,,七,7,7,,,
394,,FUNCTION_JS,,八,8,8,,,
395,,FUNCTION_JS,,九,9,9,,,
396,,FUNCTION_JS,,十,10,10,,,
397,,FUNCTION_JS,,十一,11,11,,,
398,,FUNCTION_JS,,十二,12,12,,,
399,,FUNCTION_JS,,十三,13,13,,,
400,,FUNCTION_JS,,十四,14,14,,,
401,,FUNCTION_JS,,十五,15,15,,,
402,,FUNCTION_JS,,十六,16,16,,,
403,,FUNCTION_JS,,十七,17,17,,,
404,,FUNCTION_JS,,十八,18,18,,,
405,,FUNCTION_JS,,十九,19,19,,,
406,,FUNCTION_JS,,二十,20,20,,,
407,,FUNCTION_JS,,本局取消,Game Cancle,Hủy ván,,,
408,,FUNCTION_JS,,投注,Bet,Cược,,,
409,,FUNCTION_JS,,存入,To,Nạp vào,,,
410,,FUNCTION_JS,,支出,Pay,Chi ra,,,
411,,FUNCTION_JS,,真人转电子,Casino transfer to Egame,Casino chuyển E game,,,
412,,FUNCTION_JS,,电子转真人,Real to electronic,E game chuyển Casino,,,
413,,FUNCTION_JS,,单,Odd,Lẻ,,,
414,,FUNCTION_JS,,双,Even,Chẵn,,,
415,,FUNCTION_JS,,红,Red,Đỏ,,,
416,,FUNCTION_JS,,黑,Black,Đen,,,
417,,FUNCTION_JS,,庄双,BankerEven,Cái chẵn,,,
418,,FUNCTION_JS,,闲双,PlayerEven,Con chẵn,,,
419,,FUNCTION_JS,,庄单,BankerOdd,Cái lẻ,,,
420,,FUNCTION_JS,,闲单,PlayerOdd,Con lẻ,,,
421,,FUNCTION_JS,,庄赢,Banker win,Cái thắng,,,
422,,FUNCTION_JS,,和赢,Tie win,Hòa thắng,,,
423,,FUNCTION_JS,,闲赢,Player win,Con thắng,,,
424,,FUNCTION_JS,,龙赢,Dragon win,Long thắng,,,
425,,FUNCTION_JS,,和赢,Tie win,Hòa thắng,,,
426,,FUNCTION_JS,,虎赢,Tiger win,Hổ thắng,,,
427,,FUNCTION_JS,,庄赢,Banker win,Cái thắng,,,
428,,FUNCTION_JS,,闲赢,Player win,Con thắng,,,
429,,FUNCTION_JS,,牛一,COW ONE,COW ONE,,,
430,,FUNCTION_JS,,牛二,COW TWO,COW TWO,,,
431,,FUNCTION_JS,,牛三,COW THREE,COW THREE,,,
432,,FUNCTION_JS,,牛四,COW FOUR,COW FOUR,,,
433,,FUNCTION_JS,,牛五,COW FIVE,COW FIVE,,,
434,,FUNCTION_JS,,牛六,COW SIX,COW SIX,,,
435,,FUNCTION_JS,,牛七,COW SEVEN,COW SEVEN,,,
436,,FUNCTION_JS,,牛八,COW EIGHT,COW EIGHT,,,
437,,FUNCTION_JS,,牛九,COW NINE,COW NINE,,,
438,,FUNCTION_JS,,牛牛,BULL,Ngưu Ngưu,,,
439,,FUNCTION_JS,,四炸,FOUR HITS,FOUR HITS,,,
440,,FUNCTION_JS,,五花牛,FIVE FLOWER COW,FIVE FLOWER COW,,,
441,,FUNCTION_JS,,小 单,Small Odd,Xỉu Lẻ,,,
442,,FUNCTION_JS,,小 双,Small Even,Xỉu Chẵn,,,
443,,FUNCTION_JS,,大 单,Big Odd,Tài Lẻ,,,
444,,FUNCTION_JS,,大 双,Big Even,Tài Chẵn,,,
445,,FUNCTION_JS,,红 单 小,Red Odd Small,Đỏ Lẻ Xỉu,,,
446,,FUNCTION_JS,,黑 双 小,Black Even Small,Đen Chẵn Xỉu,,,
447,,FUNCTION_JS,,红 双 小,Red Even Small,Đỏ Chẵn Xỉu,,,
448,,FUNCTION_JS,,黑 单 小,Black Odd Small,Đen Lẻ Xỉu,,,
449,,FUNCTION_JS,,红 单 大,Red Odd Big,Đỏ Lẻ Tài ,,,
450,,FUNCTION_JS,,红 双 大,Red Even Big,Đỏ Chẵn Tài,,,
451,,FUNCTION_JS,,黑 单 大,Black Odd Big,Đen Lẻ Tài,,,
452,,FUNCTION_JS,,黑 双 大,Black Even Big,Đen Chẵn Tài,,,
453,,FUNCTION_JS,,台 号,Table No,Số bàn,,,
454,,FUNCTION_JS,,局  次,Game No,Số ván,,,
455,,FUNCTION_JS,,开答结果,Result,Kết quả,,,
456,,FUNCTION_JS,,时  间,Date,Ngày,,,
457,,FUNCTION_JS,,剩余额度,Balance,Số dư,,,
458,,FUNCTION_JS,,投注金额,Bet Amount,Tiền cược,,,
459,,FUNCTION_JS,,输赢金额,Win Loss,Thắng Thua,,,
460,,FUNCTION_JS,,交易类别,Type,Loại,,,
461,,FUNCTION_JS,,投注明细,Bet Details,Chi tiết cược,,,
462,,FUNCTION_JS,,所属代理,Agent,Đại lý,,,
463,,FUNCTION_JS,,会  员,Member,Thành viên,,,
464,,FUNCTION_JS,,图片,Picture,Hình ảnh,,,
465,,TOP_ASP,,赌场后端,Casino Backend,Trang quản lý,,,
466,,TOP_ASP,,登录身份,Level,Cấp ,,,
467,,TOP_ASP,,帐号,Username,Tên tài khoản,,,
468,,LOGIN_ASP,,管理端登录—中文,Manage login,Quản lý đăng nhập,,,
469,,LOGIN_ASP,,请您输入用户名,UserID cannot be empty!,Vui lòng nhập tên đăng nhập!,,,
470,,LOGIN_ASP,,请您输入密码,Password cannot be empty!,Vui lòng nhập mật khẩu!,,,
471,,LOGIN_ASP,,验证码不能为空!,Verify code cannot be empty!,Vui lòng nhập mã xác nhận!,,,
472,,LOGIN_ASP,,验证码,Verification,Mã xác nhận,,,
473,,LOGIN_ASP,,"欢迎至电我们24小时客户服务热线(线路1)+86 0755-33961066 (线路2)+86 0755-33961177, 我们有专人为您服务!",Welcome to call us 24-hour customer service hotline!,Nếu có thắc mắc vui lòng liên hệ hỗ trợ 24h của chúng tôi!,,,
474,,LOGIN_ASP,,您的帐户已被锁定，请与上线联系！,Your account has been locked. Please contact your agent,Tài khoản của bạn hiện bị khóa. Vui lòng liên hệ với đại lý của bạn,,,
475,,LOGIN_ASP,,您输入的账号或密码不正确！,You enter wrong account or password!,Tài khoản không hợp lệ!,,,
476,,LOGIN_ASP,,验证码错误！,Verification code error!,Mã xác nhận không hợp lệ!,,,
477,,TOP_ASP,,上次登录是,Last visit,Truy cập cuối,,,
478,,TOP_ASP,,您确定退出系统?,Logout ?,Đăng xuất ?,,,
479,,TOP_ASP,,退出系统,Login out,Đăng xuất,,,
480,,,,用户名 : ,Login : ,Đăng nhập : ,,,
481,,,,密　码 : ,Password : ,Mật khẩu : ,,,
482,,,,验证码 : ,Validate : ,Xác thực : ,,,
483,,,,欢迎至电我们24小时客户服务热线(线路1)+86 0755-33961066 (线路2)+86 0755-33961177,Welcome to call us 24-hour customer service hotline (line 1) +86 0755-533961066 (line 2) +86 0755-533961177,,,,
484,,,,会员设定[上线,Members set[Upper,Thiết lập thành viên [Cấp trên,,,
485,,,,存入点数失败！,Deposit points failed!,Nạp điểm thất bại!,,,
486,,,,原始数据,Original data,Dữ liệu ban đầu,,,
487,,,,按港币,By HKD,Theo HKD,,,
488,,,,查     询,Query,Truy vấn,,,
489,,,,今日查询,Today Data,Dữ liệu trong ngày,,,
490,,,,上星期查询,Pre Week,Tuần trước,,,
491,,,,本星期查询,This Week,Tuần này,,,
492,,,,上个月查询,Pre Month,Tháng trước,,,
493,,,,本月查询,This Month,Tháng này,,,
494,,,,公牛赢,Cow win,Cow win,,,
495,,,,斗牛士赢,Matador win,Matador win,,,
496,,,,即时更新,Update,Cập nhập,,,
497,,,,暂停,Pause,Dừng,,,
498,,,,自动刷新,Auto update,Tự động ,,,
499,,,,,,,,,
